Date,Price,Open,High,Low,Volume,Chg%
2024-02-09,200.65,200.15,201.20,199.20,1.16K,-0.20%
2024-02-08,201.05,201.15,202.30,200.00,1.34K,0.10%
2024-02-07,200.85,201.40,201.70,200.20,0.73K,-0.42%
2024-02-06,201.70,199.80,202.35,199.40,1.17K,0.85%
2024-02-05,200.00,201.55,201.55,199.60,1.13K,-0.97%
2024-02-02,201.95,202.50,202.90,201.50,1.42K,-0.47%
2024-02-01,202.90,204.30,204.40,202.70,1.51K,-0.90%
2024-01-31,204.75,202.90,202.90,202.90,0.00K,1.21%
2024-01-30,202.30,202.30,202.30,202.30,0,0.00%
2024-01-29,202.30,202.60,202.60,202.10,0.00K,0.70%
2024-01-25,200.90,202.45,202.45,196.05,0.05K,0.68%
2024-01-24,199.55,200.95,202.40,198.75,0.79K,-0.50%
2024-01-23,200.55,196.30,200.85,196.05,2.48K,2.14%
2024-01-22,196.35,197.00,197.00,196.25,0.38K,-0.71%
2024-01-19,197.75,198.10,198.65,197.20,0.75K,-0.20%
2024-01-18,198.15,199.45,200.00,198.05,0.88K,-0.55%
2024-01-17,199.25,201.00,201.75,199.15,1.04K,-1.14%
2024-01-16,201.55,201.30,201.95,200.65,1.22K,0.12%
2024-01-15,201.30,202.95,202.95,201.10,1.42K,-0.37%
2024-01-12,202.05,203.30,203.60,201.60,1.66K,-0.59%
2024-01-11,203.25,203.30,204.05,203.00,0.99K,0.00%
2024-01-10,203.25,203.75,204.40,203.00,1.07K,-0.22%
2024-01-09,203.70,204.20,204.50,203.05,1.49K,-0.07%
2024-01-08,203.85,205.45,205.45,203.60,1.52K,-0.80%
2024-01-05,205.50,206.20,206.50,204.65,1.89K,-0.32%
2024-01-04,206.15,206.30,207.20,205.50,1.33K,-0.53%
2024-01-03,207.25,208.50,208.50,206.25,2.05K,-0.60%
2024-01-02,208.50,211.20,213.20,208.15,3.33K,-1.67%
2024-01-01,212.05,211.55,212.60,211.40,0.24K,1.24%
2023-12-29,209.45,209.65,209.65,209.15,0.01K,0.26%
2023-12-28,208.90,208.90,208.90,208.90,0.00K,1.43%
2023-12-27,205.95,206.00,206.00,205.80,0.01K,0.32%
2023-12-26,205.30,205.30,205.30,205.30,0,0.00%
2023-12-22,205.30,201.75,206.25,200.85,0.58K,2.22%
2023-12-21,200.85,202.50,202.50,200.00,1.37K,-0.96%
2023-12-20,202.80,204.05,205.00,202.40,1.12K,-0.61%
2023-12-19,204.05,203.80,205.50,203.80,1.44K,-0.32%
2023-12-18,204.70,202.00,205.25,202.00,1.79K,0.99%
2023-12-15,202.70,200.60,204.35,199.95,2.42K,1.25%
2023-12-14,200.20,196.45,201.20,196.45,2.46K,2.19%
2023-12-13,195.90,195.20,196.05,194.10,0.84K,0.38%
2023-12-12,195.15,195.20,196.20,194.85,0.79K,0.10%
2023-12-11,194.95,195.15,195.95,194.35,0.84K,-0.61%
2023-12-08,196.15,196.50,197.55,195.70,0.98K,0.23%
2023-12-07,195.70,197.30,197.55,195.30,0.86K,-0.71%
2023-12-06,197.10,198.65,199.30,197.00,0.84K,-0.90%
2023-12-05,198.90,200.00,200.00,198.00,1.07K,-0.80%
2023-12-04,200.50,201.70,201.90,200.25,0.62K,-0.74%
2023-12-01,202.00,201.95,202.45,200.90,1.08K,-0.74%
2023-11-30,203.50,202.00,202.00,202.00,0,1.72%
2023-11-29,200.05,200.20,200.20,200.00,0.00K,-0.52%
2023-11-28,201.10,203.05,203.15,200.65,0.10K,-0.10%
2023-11-27,201.30,201.30,201.30,201.30,0.00K,-0.32%
2023-11-24,201.95,202.95,203.25,200.20,0.71K,-0.44%
2023-11-23,202.85,203.50,203.90,202.50,0.79K,-0.37%
2023-11-22,203.60,205.20,205.20,203.30,0.64K,-1.07%
2023-11-21,205.80,205.90,206.40,204.75,0.77K,0.12%
2023-11-20,205.55,205.35,206.00,204.90,0.63K,0.91%
2023-11-17,203.70,204.65,204.90,203.35,0.70K,-0.42%
2023-11-16,204.55,205.95,206.35,204.20,0.67K,-0.80%
2023-11-15,206.20,206.00,206.70,205.80,0.72K,0.27%
2023-11-14,205.65,205.60,206.50,205.20,0.53K,-0.07%
2023-11-13,205.80,205.45,206.20,204.95,0.55K,0.05%
2023-11-12,205.70,205.00,205.70,204.70,0.11K,0.22%
2023-11-10,205.25,206.95,206.95,205.10,0.82K,-0.97%
2023-11-09,207.25,208.10,208.10,206.30,1.03K,-0.50%
2023-11-08,208.30,208.75,209.00,208.15,0.53K,-0.12%
2023-11-07,208.55,208.95,209.10,207.70,0.87K,-0.33%
2023-11-06,209.25,207.60,209.90,207.30,1.46K,0.94%
2023-11-03,207.30,206.90,207.65,206.60,9.25M,0.31%
2023-11-02,206.65,207.45,207.65,206.30,0.81K,-0.12%
2023-11-01,206.90,207.20,207.95,206.35,12.57M,0.29%
2023-10-31,206.30,206.90,206.90,206.90,0,0.00%
2023-10-30,206.30,206.30,206.30,206.30,30.00K,1.15%
2023-10-27,203.95,204.65,205.70,204.30,0,0.00%
2023-10-26,203.95,204.80,204.80,203.40,0.02K,0.20%
2023-10-25,203.55,202.60,205.00,195.10,5.30M,0.20%
2023-10-24,203.15,202.80,203.50,201.70,9.84M,0.20%
2023-10-23,202.75,202.60,203.25,201.25,6.12M,-0.05%
2023-10-20,202.85,203.20,203.75,202.40,0.67K,-0.44%
2023-10-19,203.75,204.40,205.25,203.60,0.87K,-0.49%
2023-10-18,204.75,205.30,205.85,203.00,6.93M,0.05%
2023-10-17,204.65,205.10,205.20,203.80,1.12K,-0.61%
2023-10-16,205.90,205.25,207.50,205.00,0.60K,0.00%
2023-10-13,205.90,206.35,206.55,205.75,1.08K,-0.17%
2023-10-12,206.25,207.20,207.35,205.75,1.39K,-0.34%
2023-10-11,206.95,207.75,207.75,206.55,1.22K,-0.05%
2023-10-10,207.05,208.30,208.45,206.80,1.66K,-0.65%
2023-10-09,208.40,207.30,208.90,207.00,1.40K,0.31%
2023-10-06,207.75,206.65,208.00,206.40,1.60K,0.46%
2023-10-05,206.80,206.75,207.25,205.90,1.41K,0.07%
2023-10-04,206.65,209.05,209.15,206.05,2.50K,-1.41%
2023-10-03,209.60,210.30,211.05,208.80,1.90K,-1.02%
2023-09-29,211.75,211.95,212.10,211.45,0.08K,0.50%
2023-09-28,210.70,208.10,211.00,207.95,0.11K,0.91%
2023-09-27,208.80,209.35,210.00,207.45,0.05K,0.38%
2023-09-26,208.00,212.10,212.10,206.70,0.11K,0.87%
