Date,Price,Volume,Open,High,Low
02/14/2024,76.64,268308,77.81,78.77,76.38
02/13/2024,77.87,293778,77.03,78.47,76.87
02/12/2024,76.92,211591,76.60,77.09,75.54
02/09/2024,76.84,270691,76.42,77.29,75.93
02/08/2024,76.22,337172,74.08,76.59,73.56
02/07/2024,73.86,262572,73.50,74.22,73.23
02/06/2024,73.31,289125,72.76,73.60,72.76
02/05/2024,72.78,325886,72.75,73.28,71.41
02/02/2024,72.28,435788,73.91,74.52,71.79
02/01/2024,73.82,546942,75.96,75.89,73.70
01/31/2024,75.85,323774,77.84,78.11,75.52
01/30/2024,77.82,318074,77.02,78.14,76.85
01/29/2024,76.78,310380,78.90,78.92,76.41
01/26/2024,78.01,340725,77.15,78.26,76.06
01/25/2024,77.36,294934,75.30,77.51,75.16
01/24/2024,75.09,303867,74.57,75.83,73.94
01/23/2024,74.37,291333,74.68,75.25,73.41
01/22/2024,75.19,15993,73.41,75.75,72.89
01/19/2024,73.41,39337,74.08,74.91,73.20
01/18/2024,74.08,69420,72.78,74.38,72.18
01/17/2024,72.56,289446,72.00,72.95,70.50
01/16/2024,72.40,402922,73.43,73.56,71.71
01/12/2024,72.68,369827,73.01,75.25,72.36
01/11/2024,72.02,347382,71.33,73.81,71.17
01/10/2024,71.37,325904,72.17,73.59,71.01
01/09/2024,72.24,334161,70.91,72.93,70.47
01/08/2024,70.77,365079,73.51,73.95,70.13
01/05/2024,73.81,303067,72.40,74.24,72.21
01/04/2024,72.19,322347,73.04,74.00,71.06
01/03/2024,72.70,315826,70.50,73.23,69.28
01/02/2024,70.38,311388,71.71,73.64,70.06
12/29/2023,72.30,117655,71.99,72.62,71.38
12/28/2023,71.77,244068,73.80,74.40,71.72
12/27/2023,74.11,235743,75.32,75.66,73.77
12/26/2023,75.57,193351,73.56,76.18,73.13
12/22/2023,73.56,201913,73.91,74.98,73.39
12/21/2023,73.89,231155,73.81,74.58,72.44
12/20/2023,74.22,251986,74.06,75.37,73.60
12/19/2023,73.44,15648,72.48,74.01,71.85
12/18/2023,72.47,35705,71.68,74.26,70.64
12/15/2023,71.43,72967,71.61,72.22,70.30
